t_burn (days),nu_burn (degrees),Minimum Relative Velocity (km/s),Time at Minimum Relative Velocity (days),Delta-V at Minimum Relative Velocity (km/s)
-200.0,36.36363636363636,41.88101670113028,-50.62900738576412,14.649964226004037
-200.0,40.0,42.60852433025206,-62.20815410004599,12.714870270752218
-200.0,43.63636363636363,40.24044132531105,-62.20815410004599,14.26164918619855
-200.0,47.27272727272727,41.18714490223747,-73.78730081432784,12.441905382296722
-200.0,50.90909090909091,38.766341306491114,-73.78730081432784,14.4688359088553
-200.0,54.54545454545455,40.042997669359885,-85.36644752860968,13.151833905298846
-200.0,58.18181818181818,41.89328648632185,-96.94559424289153,12.36534623191859
-200.0,61.81818181818181,44.54298348002265,-108.52474095717339,12.808451885436789
-200.0,65.45454545454545,nan,nan,nan
-200.0,69.0909090909091,nan,nan,nan
-200.0,72.72727272727272,nan,nan,nan
-200.0,76.36363636363636,nan,nan,nan
-200.0,80.0,nan,nan,nan
-200.0,83.63636363636364,nan,nan,nan
-200.0,87.27272727272727,nan,nan,nan
-200.0,90.9090909090909,nan,nan,nan
-200.0,94.54545454545455,nan,nan,nan
-200.0,98.18181818181817,nan,nan,nan
-200.0,101.81818181818181,nan,nan,nan
-200.0,105.45454545454545,nan,nan,nan
-200.0,109.0909090909091,nan,nan,nan
-200.0,112.72727272727272,nan,nan,nan
-200.0,116.36363636363636,nan,nan,nan
-200.0,120.0,nan,nan,nan
-200.0,123.63636363636363,nan,nan,nan
-200.0,127.27272727272727,nan,nan,nan
-200.0,130.9090909090909,nan,nan,nan
-200.0,134.54545454545453,nan,nan,nan
-200.0,138.1818181818182,nan,nan,nan
-200.0,141.8181818181818,nan,nan,nan
-200.0,145.45454545454544,nan,nan,nan
-200.0,149.0909090909091,nan,nan,nan
-200.0,152.72727272727272,nan,nan,nan
-200.0,156.36363636363635,nan,nan,nan
-200.0,160.0,nan,nan,nan
-200.0,163.63636363636363,nan,nan,nan
-200.0,167.27272727272728,nan,nan,nan
-200.0,170.9090909090909,nan,nan,nan
-200.0,174.54545454545453,nan,nan,nan
-200.0,178.1818181818182,nan,nan,nan
-200.0,181.8181818181818,nan,nan,nan
-200.0,185.45454545454544,nan,nan,nan
-200.0,189.0909090909091,26.972236170189507,343.0619808998187,14.923265265269814
-200.0,192.72727272727272,25.41680437085406,377.7994210426643,14.885590563954421
-200.0,196.36363636363635,24.53716369534997,400.95771447122803,14.988477999998562
-200.0,200.0,24.705883958766783,400.95771447122803,14.942651532175283
-200.0,203.63636363636363,25.39126674108515,389.3785677569462,14.80093688416531
-200.0,207.27272727272725,25.529660791350658,389.3785677569462,14.945083745466263
-200.0,210.9090909090909,26.21378283402938,377.7994210426643,14.944271293056952
-200.0,214.54545454545453,26.910876052505163,366.22027432838246,14.997968310549345
-200.0,218.1818181818182,28.27187515318289,343.0619808998187,14.794383817354827
-200.0,221.8181818181818,29.03072203160779,331.4828341855369,14.916389218109055
